num_layers,hidden_size,n_params,epochs_run,best_val_loss,RMSE_all,RMSE_day,R2_day,SkillScore,elapsed_s
3,64,273312,35,0.017685,170.322980,230.119032,0.477242,-0.299138,1136.800000
3,128,1005216,35,0.016921,169.938365,229.599389,0.479600,-0.293277,3110.800000
5,64,471968,35,0.017079,171.999308,232.383876,0.466901,-0.324836,1815.700000
5,128,1795744,35,0.017667,171.554783,231.783289,0.469653,-0.317997,5793.100000
7,64,670624,35,0.018547,172.298061,232.787514,0.465047,-0.329442,2673.700000
7,128,2586272,35,0.017639,171.948752,232.315571,0.467214,-0.324057,8655.400000
8,64,769952,35,0.018765,173.097754,233.867959,0.460070,-0.341812,3197.000000
8,128,2981536,35,0.017504,170.387623,230.206370,0.476845,-0.300124,8858.700000
10,64,968608,17,0.054201,194.324658,262.547086,0.319528,-0.691082,1621.600000
10,128,3772064,35,0.018808,172.322607,232.820678,0.464895,-0.329821,104458.600000
